,0,1,2,3,4,5,6
0,0.5,0.5,0.5,0.5,0.5,0.5,0.87632581913
1,0.75,0.25,0.75,0.25,0.75,0.25,0.89347072899
2,0.25,0.75,0.25,0.75,0.25,0.75,0.85799136056
3,0.375,0.375,0.625,0.125,0.875,0.875,0.87524353709
4,0.875,0.875,0.125,0.625,0.375,0.375,0.89089775783
5,0.625,0.125,0.375,0.375,0.125,0.625,0.86763681788
6,0.125,0.625,0.875,0.875,0.625,0.125,0.86400713824
7,0.1875,0.3125,0.3125,0.6875,0.5625,0.1875,0.84501829316
8,0.6875,0.8125,0.8125,0.1875,0.0625,0.6875,0.91122505421
9,0.9375,0.0625,0.5625,0.9375,0.3125,0.4375,0.86992645509
10,0.4375,0.5625,0.0625,0.4375,0.8125,0.9375,0.85971946171
11,0.3125,0.1875,0.9375,0.5625,0.4375,0.8125,0.86612741167
12,0.8125,0.6875,0.4375,0.0625,0.9375,0.3125,0.90588381614
13,0.5625,0.4375,0.1875,0.8125,0.6875,0.5625,0.8587993717
14,0.0625,0.9375,0.6875,0.3125,0.1875,0.0625,0.88049936384
15,0.09375,0.46875,0.84375,0.40625,0.28125,0.34375,0.86853808893
16,0.59375,0.96875,0.34375,0.90625,0.78125,0.84375,0.88152217496
17,0.84375,0.21875,0.09375,0.15625,0.53125,0.09375,0.87881575832
18,0.34375,0.71875,0.59375,0.65625,0.03125,0.59375,0.87313084599
19,0.46875,0.09375,0.46875,0.28125,0.65625,0.71875,0.8632774975
20,0.96875,0.59375,0.96875,0.78125,0.15625,0.21875,0.90607981327
21,0.71875,0.34375,0.71875,0.03125,0.40625,0.96875,0.8968530087
22,0.21875,0.84375,0.21875,0.53125,0.90625,0.46875,0.86534654391
23,0.15625,0.15625,0.53125,0.84375,0.84375,0.40625,0.84004038582
24,0.65625,0.65625,0.03125,0.34375,0.34375,0.90625,0.87625470611
25,0.90625,0.40625,0.28125,0.59375,0.09375,0.15625,0.88219551013
26,0.40625,0.90625,0.78125,0.09375,0.59375,0.65625,0.90329402241
27,0.28125,0.28125,0.15625,0.96875,0.21875,0.53125,0.8322525787
28,0.78125,0.78125,0.65625,0.46875,0.71875,0.03125,0.90509259786
29,0.53125,0.03125,0.90625,0.71875,0.96875,0.78125,0.86592105363
30,0.03125,0.53125,0.40625,0.21875,0.46875,0.28125,0.85870396078
31,0.046875,0.265625,0.609375,0.578125,0.703125,0.640625,0.84661477187
32,0.546875,0.765625,0.109375,0.078125,0.203125,0.140625,0.88562305003
33,0.796875,0.015625,0.359375,0.828125,0.453125,0.890625,0.85864136429
34,0.296875,0.515625,0.859375,0.328125,0.953125,0.390625,0.88119317244
35,0.421875,0.140625,0.234375,0.703125,0.328125,0.265625,0.84569852372
36,0.921875,0.640625,0.734375,0.203125,0.828125,0.765625,0.91266329291
